GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,GD15,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,win_rate,Team,division,EGR,MLR,year
13,7,6,42.7,239,235,1.02,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,53.85,7th heaven,LJL,0.0,0.0,2015
14,6,8,35.8,214,269,0.8,0.96,-0.89,-0.062,-1303.0,0.5,0.36,0.29,0.0,0.43,0.26,0.0,0.43,0.53,0.495,0.446,2.21,0.32,0.69,42.86,ATLAS eSports Team,TCL,0.0,0.0,2015
6,1,5,39.3,80,121,0.66,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,Bencheados,LLA,0.0,0.0,2015
14,12,2,33.9,291,175,1.66,0.98,1.47,0.153,867.0,0.43,0.79,0.86,0.0,0.43,0.62,0.0,0.64,0.88,0.52,0.506,2.37,0.34,0.82,85.71,Beşiktaş Esports,TCL,0.0,0.0,2015
5,0,5,27.6,27,110,0.25,0.99,-4.84,-0.326,-5932.0,0.2,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.457,0.387,2.82,0.27,0.6,0.0,Beşiktaş Esports,MSI,0.0,0.0,2015
14,4,10,36.8,214,263,0.81,0.92,-1.12,-0.092,-1297.0,0.36,0.43,0.36,0.0,0.43,0.41,0.0,0.0,0.11,0.489,0.537,2.47,0.31,0.75,28.57,Big Plays Incorporated,TCL,0.0,0.0,2015
8,5,3,37.2,89,84,1.06,0.58,0.02,0.012,-286.0,0.63,0.63,0.5,0.0,0.5,0.54,0.0,0.5,0.5,0.51,0.504,3.01,0.53,1.07,62.5,CJ Entus,LCK,0.0,0.0,2015
5,2,3,40.7,86,100,0.86,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,CNB e-Sports Club,CBLOL,0.0,0.0,2015
9,4,5,36.4,87,119,0.73,0.63,-0.15,-0.011000000000000001,-451.0,0.56,0.33,0.67,0.0,0.44,0.33,0.0,0.56,0.57,0.514,0.483,2.75,0.38,1.08,44.44,Cloud9,LCS,0.0,0.0,2015
3,0,3,38.5,35,63,0.56,0.85,0.35,-0.055999999999999994,-54.0,0.67,0.0,0.33,0.0,0.33,0.2,0.0,0.33,0.5,0.503,0.491,2.31,0.31,0.78,0.0,Copenhagen Wolves,LEC,0.0,0.0,2015
3,0,3,35.5,27,69,0.39,0.9,-0.73,-0.151,305.0,0.67,0.67,0.67,0.0,0.33,0.36,0.0,0.0,0.0,0.516,0.441,2.84,0.43,0.72,0.0,Counter Logic Gaming,LCS,0.0,0.0,2015
14,11,3,32.4,256,144,1.78,0.88,1.63,0.10800000000000001,1745.0,0.5,0.64,0.79,0.0,0.64,0.66,0.0,0.64,0.53,0.52,0.527,2.26,0.37,0.88,78.57,Dark Passage,TCL,0.0,0.0,2015
13,11,2,36.4,226,121,1.87,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,84.62,DetonatioN FocusMe,LJL,0.0,0.0,2015
5,1,4,36.2,66,110,0.6,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Dexterity Team,CBLOL,0.0,0.0,2015
13,10,3,33.1,297,160,1.86,1.05,2.21,0.168,2960.0,0.77,0.77,0.77,0.0,0.62,0.65,0.0,0.69,0.71,0.504,0.547,3.25,0.48,1.09,76.92,EDward Gaming,MSI,0.0,0.0,2015
13,9,4,32.8,187,138,1.36,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,EDward Gaming,LPL,0.0,0.0,2015
4,1,3,35.1,40,95,0.42,0.96,-1.96,-0.162,-1675.0,0.5,0.25,0.25,0.0,0.5,0.35,0.0,0.5,0.5,0.48200000000000004,0.511,3.11,0.42,1.17,25.0,Flash Wolves,PCS,0.0,0.0,2015
10,4,6,34.7,161,160,1.01,0.92,0.29,0.027000000000000003,1175.0,0.6,0.5,0.5,0.0,0.3,0.36,0.0,0.5,0.5,0.491,0.517,3.44,0.47,0.79,40.0,Fnatic,MSI,0.0,0.0,2015
10,6,4,33.8,162,107,1.51,0.79,1.28,0.10800000000000001,1051.0,0.7,0.6,0.7,0.0,0.6,0.64,0.0,0.7,0.83,0.506,0.5539999999999999,3.35,0.45,0.78,60.0,Fnatic,LEC,0.0,0.0,2015
8,4,4,39.2,114,132,0.86,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Furious Gaming,LLA,0.0,0.0,2015
4,1,3,36.1,52,67,0.78,0.82,0.54,-0.024,1218.0,0.5,0.75,0.75,0.0,0.5,0.5,0.0,0.25,0.5,0.51,0.49700000000000005,3.2,0.44,1.02,25.0,Gambit Gaming,LEC,0.0,0.0,2015
4,1,3,31.4,37,73,0.51,0.88,-1.72,-0.16699999999999998,-3330.0,0.75,0.25,0.25,0.0,0.75,0.53,0.0,0.25,0.4,0.47,0.46,2.44,0.25,0.65,25.0,Gravity,LCS,0.0,0.0,2015
13,8,5,35.1,187,151,1.24,0.73,-0.37,-0.03,-340.0,0.38,0.62,0.54,0.0,0.31,0.44,0.0,0.46,0.32,0.496,0.46299999999999997,2.8,0.39,0.76,61.54,H2k-Gaming,LEC,0.0,0.0,2015
14,11,3,31.9,274,177,1.55,1.01,2.08,0.11900000000000001,2250.0,0.57,0.64,0.79,0.0,0.86,0.8,0.0,0.71,0.67,0.52,0.511,2.2,0.35,0.87,78.57,HWA Gaming,TCL,0.0,0.0,2015
3,0,3,41.1,42,72,0.58,0.92,-1.0,-0.055,-759.0,0.0,0.0,0.0,0.0,0.33,0.31,0.0,0.67,0.5,0.498,0.54,3.66,0.44,0.82,0.0,Hong Kong Esports,PCS,0.0,0.0,2015
6,6,0,40.7,123,78,1.58,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,INTZ,CBLOL,0.0,0.0,2015
11,6,5,35.2,119,118,1.01,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55,Invictus Gaming,LPL,0.0,0.0,2015
3,0,3,30.0,5,28,0.18,0.37,-2.24,-0.126,-943.0,0.0,0.33,0.33,0.0,0.0,0.1,0.0,0.0,0.0,0.465,0.447,3.09,0.51,0.77,0.0,Jin Air Green Wings,LCK,0.0,0.0,2015
10,4,6,39.3,126,152,0.83,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,KaBuM! Black,CBLOL,0.0,0.0,2015
7,6,1,31.1,133,70,1.9,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,Kaos Latin Gamers,LLA,0.0,0.0,2015
11,8,3,34.9,180,114,1.58,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.73,LGD Gaming,LPL,0.0,0.0,2015
5,2,3,28.0,75,83,0.9,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Last Kings,LLA,0.0,0.0,2015
14,5,9,34.6,211,252,0.84,0.96,-1.09,-0.078,-1348.0,0.36,0.36,0.29,0.0,0.43,0.53,0.0,0.36,0.4,0.48,0.498,2.34,0.34,0.77,35.71,NumberOne Esports,TCL,0.0,0.0,2015
3,0,3,33.5,21,50,0.42,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oh My God,LPL,0.0,0.0,2015
3,0,3,38.6,24,56,0.43,0.68,-2.07,-0.14800000000000002,-1163.0,0.67,0.0,0.33,0.0,0.0,0.14,0.0,0.0,0.2,0.478,0.424,3.71,0.59,1.05,0.0,ROX Tigers,LCK,0.0,0.0,2015
16,9,7,43.4,270,266,1.02,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,56.25,RabbitFive,LJL,0.0,0.0,2015
10,5,5,40.2,164,142,1.15,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,50.0,Rampage,LJL,0.0,0.0,2015
10,4,6,40.4,135,170,0.79,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,40.0,Rascal Jester,LJL,0.0,0.0,2015
10,4,6,37.1,130,156,0.83,0.77,0.39,0.006,691.0,0.4,0.7,0.4,0.0,0.7,0.64,0.0,0.3,0.5,0.513,0.544,2.64,0.44,1.0,40.0,SK Gaming,LEC,0.0,0.0,2015
15,10,5,35.7,238,239,1.0,0.89,0.02,0.005,-151.0,0.33,0.47,0.53,0.0,0.67,0.63,0.0,0.6,0.58,0.517,0.493,3.23,0.57,1.04,66.67,SK Telecom T1,MSI,0.0,0.0,2015
8,6,2,40.4,134,87,1.54,0.68,1.36,0.09,1076.0,0.5,0.63,0.63,0.0,0.88,0.69,0.0,0.75,0.67,0.512,0.545,3.44,0.51,1.07,75.0,SK Telecom T1,LCK,0.0,0.0,2015
10,0,10,34.7,75,181,0.41,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Salvage Javelin,LJL,0.0,0.0,2015
12,4,8,35.4,113,182,0.62,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,Snake Esports,LPL,0.0,0.0,2015
5,1,4,28.8,35,91,0.38,0.87,-2.91,-0.196,-2931.0,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.17,0.501,0.456,2.39,0.26,0.68,20.0,TSM,MSI,0.0,0.0,2015
8,6,2,35.2,119,65,1.83,0.65,1.48,0.113,1241.0,0.75,0.75,0.5,0.0,0.38,0.67,0.0,0.63,0.73,0.504,0.528,2.9,0.45,0.99,75.0,TSM,LCS,0.0,0.0,2015
3,0,3,48.5,45,76,0.59,0.82,-0.16,-0.044000000000000004,0.0,0.33,0.67,0.33,0.0,0.0,0.21,0.0,0.33,0.67,0.494,0.483,3.58,0.44,1.12,0.0,Taipei Assassins,PCS,0.0,0.0,2015
13,6,7,34.6,163,165,0.99,0.73,0.03,0.004,762.0,0.38,0.69,0.54,0.0,0.54,0.52,0.0,0.46,0.35,0.508,0.52,3.0,0.43,0.73,46.15,Team Impulse,LCS,0.0,0.0,2015
5,2,3,34.4,69,61,1.13,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Team King,LPL,0.0,0.0,2015
13,8,5,36.7,197,141,1.4,0.71,-0.18,0.021,-259.0,0.31,0.31,0.38,0.0,0.54,0.52,0.0,0.62,0.56,0.486,0.5,2.68,0.43,0.99,61.54,Team Liquid,LCS,0.0,0.0,2015
14,5,9,34.7,231,240,0.96,0.97,0.26,0.017,612.0,0.71,0.36,0.43,0.0,0.64,0.49,0.0,0.5,0.5,0.502,0.491,2.45,0.34,0.9,35.71,Team Turquality,TCL,0.0,0.0,2015
5,2,3,31.6,57,87,0.66,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Team WE,LPL,0.0,0.0,2015
14,8,6,36.6,205,238,0.86,0.85,-1.03,-0.035,-1265.0,0.5,0.21,0.36,0.0,0.5,0.44,0.0,0.5,0.47,0.486,0.467,2.9,0.4,0.84,57.14,Unicorns of Love,LEC,0.0,0.0,2015
4,1,3,37.4,54,56,0.96,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Vici Gaming,LPL,0.0,0.0,2015
6,3,3,33.9,97,86,1.13,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Vivo Keyd,CBLOL,0.0,0.0,2015
14,2,12,35.7,172,348,0.49,1.04,-1.88,-0.165,-1526.0,0.57,0.43,0.21,0.0,0.14,0.29,0.0,0.21,0.4,0.474,0.484,2.8,0.38,0.69,14.29,ZONE eSports,TCL,0.0,0.0,2015
10,9,1,40.9,242,128,1.89,0.9,1.03,0.094,897.0,0.7,0.7,0.8,0.0,0.7,0.71,0.0,0.4,0.45,0.51,0.489,3.37,0.45,1.37,90.0,ahq eSports Club,PCS,0.0,0.0,2015
8,3,5,34.7,140,144,0.97,1.02,0.08,0.011000000000000001,-456.0,0.63,0.5,0.5,0.0,0.63,0.47,0.0,0.5,0.4,0.498,0.514,3.02,0.38,1.04,37.5,ahq eSports Club,MSI,0.0,0.0,2015
10,5,5,41.1,155,129,1.2,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,paiN Gaming,CBLOL,0.0,0.0,2015
17,9,8,34.6,212,172,1.23,0.65,-0.04,0.017,-182.0,0.47,0.29,0.41,0.52,0.24,0.4,0.0,0.53,0.55,0.494,0.5489999999999999,3.2,0.53,1.31,52.94,Beşiktaş.Oyun Hizmetleri,TCL,0.0,0.0,2016
2,2,0,37.8,35,14,2.5,0.65,-0.35,0.006,-859.0,0.5,1.0,1.0,0.33,1.0,1.0,0.0,1.0,1.0,0.479,0.46799999999999997,3.81,0.76,1.66,100.0,CNB e-Sports Club,CBLOL,0.0,0.0,2016
4,1,3,30.3,38,72,0.53,0.91,-0.91,-0.057999999999999996,339.0,0.25,0.5,0.25,0.0,0.5,0.25,0.0,0.25,0.2,0.508,0.48,2.73,0.46,0.94,25.0,Cloud9,LCS,0.0,0.0,2016
17,10,7,35.8,230,237,0.97,0.77,-0.01,0.024,770.0,0.53,0.88,0.65,0.55,0.35,0.38,0.0,0.65,0.68,0.501,0.501,3.47,0.65,1.53,58.82,Counter Logic Gaming,MSI,0.0,0.0,2016
10,6,4,36.0,123,133,0.92,0.71,0.13,0.009000000000000001,-375.0,0.4,0.8,0.5,0.58,0.6,0.42,0.0,0.8,0.75,0.49200000000000005,0.47600000000000003,3.44,0.65,1.52,60.0,Counter Logic Gaming,LCS,0.0,0.0,2016
14,11,3,34.0,185,159,1.16,0.72,1.0,0.075,703.0,0.64,0.57,0.71,0.5,0.64,0.67,0.0,0.43,0.69,0.519,0.499,3.2,0.6,1.42,78.57,Dark Passage,TCL,0.0,0.0,2016
3,3,0,29.5,56,8,7.0,0.72,3.21,0.26899999999999996,2961.0,0.33,0.33,1.0,1.0,0.67,0.6,0.0,1.0,1.0,0.507,0.599,3.07,0.76,1.24,100.0,DetonatioN FocusMe,LJL,0.0,0.0,2016
7,4,3,36.8,107,93,1.15,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,57.14,EDward Gaming,LPL,0.0,0.0,2016
6,6,0,36.1,106,32,3.31,0.64,2.18,0.136,2436.0,1.0,0.83,1.0,0.17,0.5,0.71,0.0,0.83,0.75,0.509,0.5539999999999999,3.71,0.89,1.71,100.0,Flash Wolves,PCS,0.0,0.0,2016
14,7,7,37.4,163,135,1.21,0.57,0.02,-0.031,-236.0,0.5,0.43,0.36,0.35,0.64,0.61,0.0,0.5,0.55,0.48700000000000004,0.48,3.66,0.86,1.49,50.0,Flash Wolves,MSI,0.0,0.0,2016
13,7,6,32.5,124,115,1.08,0.56,-0.04,0.003,-213.0,0.54,0.31,0.23,0.28,0.31,0.5,0.0,0.38,0.5,0.509,0.518,3.77,0.72,1.42,53.85,Fnatic,LEC,0.0,0.0,2016
5,2,3,39.1,38,53,0.72,0.47,1.16,-0.013000000000000001,1886.0,0.2,0.4,0.8,1.0,0.8,0.62,0.0,0.4,0.5,0.496,0.535,3.64,0.6,1.54,40.0,Furious Gaming,LLA,0.0,0.0,2016
10,2,8,33.5,88,170,0.52,0.76,-0.93,-0.087,-389.0,0.4,0.6,0.5,0.45,0.2,0.26,0.0,0.2,0.33,0.49200000000000005,0.49700000000000005,3.41,0.61,1.26,20.0,G2 Esports,MSI,0.0,0.0,2016
8,6,2,33.5,106,92,1.15,0.74,0.11,0.035,20.0,0.38,0.75,0.75,0.67,0.63,0.65,0.0,0.63,0.64,0.493,0.54,3.48,0.59,1.19,75.0,G2 Esports,LEC,0.0,0.0,2016
10,4,6,36.7,84,96,0.88,0.49,0.13,0.001,613.0,0.6,0.8,0.8,0.63,0.7,0.47,0.0,0.5,0.46,0.498,0.473,3.89,0.79,1.69,40.0,H2k-Gaming,LEC,0.0,0.0,2016
17,9,8,34.3,208,213,0.98,0.72,-0.51,-0.023,-434.0,0.53,0.47,0.35,0.29,0.53,0.52,0.0,0.41,0.43,0.496,0.47700000000000004,3.45,0.61,1.31,52.94,HWA Gaming,TCL,0.0,0.0,2016
7,6,1,34.7,114,86,1.33,0.82,1.61,0.11900000000000001,1429.0,0.43,0.71,0.57,0.5,0.29,0.57,0.0,0.71,0.83,0.518,0.599,3.32,0.56,1.25,85.71,Hard Random,LCL,0.0,0.0,2016
7,6,1,39.5,102,71,1.44,0.63,0.19,0.022000000000000002,348.0,0.43,0.71,0.57,0.57,0.29,0.3,0.0,0.71,0.67,0.496,0.507,3.68,0.81,1.64,85.71,INTZ,CBLOL,0.0,0.0,2016
6,3,3,34.8,81,87,0.93,0.8,0.65,0.027000000000000003,653.0,0.67,0.33,0.83,0.25,0.5,0.48,0.0,0.67,0.5,0.502,0.505,3.81,0.54,1.48,50.0,Immortals,LCS,0.0,0.0,2016
2,0,2,30.3,9,21,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Invictus Gaming,LPL,0.0,0.0,2016
8,6,2,37.6,110,69,1.59,0.6,-0.49,0.066,-1181.0,0.75,0.5,0.25,0.3,0.38,0.45,0.0,0.5,0.71,0.496,0.499,3.36,0.56,1.7,75.0,Isurus,LLA,0.0,0.0,2016
6,3,3,43.8,58,64,0.91,0.46,-0.47,-0.032,-435.0,0.33,0.33,0.5,0.33,0.5,0.36,0.0,0.5,0.36,0.49,0.47700000000000004,3.74,0.86,1.68,50.0,Jin Air Green Wings,LCK,0.0,0.0,2016
3,0,3,33.8,24,52,0.46,0.75,-1.42,-0.142,-608.0,0.0,0.67,0.33,0.0,0.0,0.18,0.0,0.0,0.25,0.483,0.491,3.43,0.72,1.73,0.0,KT Rolster,LCK,0.0,0.0,2016
5,2,3,40.2,27,45,0.6,0.36,-1.98,-0.14400000000000002,-2425.0,0.2,0.2,0.2,0.3,0.4,0.4,0.0,0.2,0.5,0.493,0.445,3.41,0.89,1.74,40.0,KaBuM! e-Sports,CBLOL,0.0,0.0,2016
2,0,2,40.5,12,38,0.32,0.62,-0.26,-0.124,1384.0,1.0,0.5,0.5,0.75,0.5,0.4,0.0,0.0,0.0,0.513,0.47600000000000003,2.87,0.56,1.04,0.0,Kwangdong Freecs,LCK,0.0,0.0,2016
3,1,2,30.0,31,46,0.67,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,33.33,LGD Gaming,LPL,0.0,0.0,2016
6,3,3,35.0,84,93,0.9,0.84,0.55,-0.013000000000000001,630.0,0.5,0.67,0.83,0.56,0.67,0.59,0.0,0.33,0.33,0.512,0.512,3.54,0.67,1.5,50.0,Last Kings,LLA,0.0,0.0,2016
8,3,5,36.9,55,89,0.62,0.49,-0.68,-0.036000000000000004,-1152.0,0.13,0.5,0.5,0.7,0.5,0.36,0.0,0.25,0.5,0.485,0.488,3.82,0.79,1.69,37.5,Machi Esports,PCS,0.0,0.0,2016
3,0,3,32.4,18,51,0.35,0.71,-3.78,-0.231,-3521.0,0.0,0.33,0.0,0.0,0.33,0.1,0.0,0.33,0.33,0.484,0.366,3.62,0.82,1.14,0.0,NRG Esports,LCS,0.0,0.0,2016
7,2,5,34.5,71,94,0.76,0.68,-0.1,-0.017,-93.0,0.57,0.29,0.57,0.18,0.43,0.44,0.0,0.43,0.75,0.505,0.502,3.23,0.49,1.37,28.57,Natus Vincere CIS,LCL,0.0,0.0,2016
14,2,12,36.2,98,156,0.63,0.5,-1.18,-0.109,-630.0,0.36,0.29,0.21,0.35,0.5,0.28,0.0,0.07,0.18,0.501,0.45299999999999996,3.15,0.4,1.32,14.29,NumberOne Esports,TCL,0.0,0.0,2016
7,3,4,42.5,79,92,0.86,0.57,0.07,0.002,195.0,0.43,0.43,0.43,0.42,0.57,0.62,0.0,0.43,0.62,0.501,0.47600000000000003,3.73,0.75,1.54,42.86,Operation Kino e-Sports,CBLOL,0.0,0.0,2016
12,7,5,38.9,168,138,1.22,0.65,0.14,0.002,-277.0,0.67,0.33,0.25,0.55,0.42,0.54,0.0,0.58,0.6,0.49700000000000005,0.49,3.67,0.81,1.65,58.33,Origen,LEC,0.0,0.0,2016
3,0,3,34.1,28,53,0.53,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,Qiao Gu Reapers,LPL,0.0,0.0,2016
6,3,3,43.3,75,70,1.07,0.56,-0.34,-0.002,-664.0,0.33,0.17,0.33,0.75,0.67,0.45,0.0,0.5,0.36,0.505,0.51,3.43,0.7,1.7,50.0,RED Canids,CBLOL,0.0,0.0,2016
4,1,3,38.7,43,56,0.77,0.64,-0.54,-0.063,-542.0,0.75,0.25,0.5,0.75,0.0,0.31,0.0,0.5,0.63,0.498,0.465,3.74,0.69,1.67,25.0,ROX Tigers,LCK,0.0,0.0,2016
9,6,3,37.5,130,86,1.51,0.64,-3.21,-0.26899999999999996,-2961.0,0.67,0.67,0.0,0.0,0.33,0.52,0.0,0.0,0.0,0.493,0.401,3.07,0.63,1.05,66.67,Rampage,LJL,0.0,0.0,2016
3,0,3,34.9,36,53,0.68,0.85,-1.85,-0.131,-1252.0,0.33,0.33,0.0,0.33,0.0,0.2,0.0,0.33,0.33,0.494,0.42100000000000004,3.47,0.69,1.23,0.0,Rebirth eSports,LLA,0.0,0.0,2016
14,9,5,37.5,208,162,1.28,0.7,0.98,0.032,106.0,0.79,0.29,0.43,0.8,0.64,0.63,0.0,0.64,0.56,0.504,0.536,3.77,0.81,1.6,64.29,Royal Never Give Up,MSI,0.0,0.0,2016
9,6,3,37.4,148,101,1.47,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,66.67,Royal Never Give Up,LPL,0.0,0.0,2016
17,12,5,36.9,266,157,1.69,0.67,0.55,0.084,821.0,0.41,0.41,0.59,0.58,0.76,0.61,0.0,0.41,0.45,0.518,0.528,3.73,0.67,1.61,70.59,SK Telecom T1,MSI,0.0,0.0,2016
11,9,2,39.8,160,87,1.84,0.56,0.85,0.10099999999999999,348.0,0.55,0.64,0.55,0.58,0.82,0.74,0.0,0.73,0.68,0.508,0.532,3.86,0.67,1.47,81.82,SK Telecom T1,LCK,0.0,0.0,2016
5,2,3,33.1,33,52,0.63,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,40.0,Snake Esports,LPL,0.0,0.0,2016
18,11,7,37.6,177,192,0.92,0.54,0.7,0.055999999999999994,759.0,0.39,0.78,0.67,0.47,0.56,0.64,0.0,0.56,0.68,0.512,0.527,3.55,0.72,1.69,61.11,SuperMassive Esports,TCL,0.0,0.0,2016
10,1,9,31.6,86,182,0.47,0.85,-1.74,-0.099,-2134.0,0.3,0.3,0.4,0.24,0.2,0.34,0.0,0.2,0.2,0.488,0.43200000000000005,3.52,0.73,1.38,10.0,SuperMassive Esports,MSI,0.0,0.0,2016
